Symbol,PN,Type,Date,Volatility
XLE,86454,QMLE-Trade,1998-12-22,0.0100246
XLE,86454,QMLE-Trade,1998-12-23,0.227834
XLE,86454,QMLE-Trade,1998-12-28,0.242299
XLE,86454,QMLE-Trade,1999-1-4,0.326243
XLE,86454,QMLE-Trade,1999-1-5,0.0543375
XLE,86454,QMLE-Trade,1999-1-6,0.335337
XLE,86454,QMLE-Trade,1999-1-7,0.208119
XLE,86454,QMLE-Trade,1999-1-8,0.493144
XLE,86454,QMLE-Trade,1999-1-11,0.133666
XLE,86454,QMLE-Trade,1999-1-12,0.147852
XLE,86454,QMLE-Trade,1999-1-13,0.0360643
XLE,86454,QMLE-Trade,1999-1-14,0.215208
XLE,86454,QMLE-Trade,1999-1-15,0.0352665
XLE,86454,QMLE-Trade,1999-1-19,0.0741329
XLE,86454,QMLE-Trade,1999-1-20,0.132654
XLE,86454,QMLE-Trade,1999-1-21,0.137083
XLE,86454,QMLE-Trade,1999-1-22,0.0151933
XLE,86454,QMLE-Trade,1999-1-26,0.173577
XLE,86454,QMLE-Trade,1999-1-27,0.1829
XLE,86454,QMLE-Trade,1999-1-28,0.117975
XLE,86454,QMLE-Trade,1999-1-29,0.0902102
XLE,86454,QMLE-Trade,1999-2-1,0.109837
XLE,86454,QMLE-Trade,1999-2-2,0.0147766
XLE,86454,QMLE-Trade,1999-2-3,0.257076
XLE,86454,QMLE-Trade,1999-2-4,0.0660716
XLE,86454,QMLE-Trade,1999-2-5,0.2841
XLE,86454,QMLE-Trade,1999-2-8,0.0957157
XLE,86454,QMLE-Trade,1999-2-9,0.168643
XLE,86454,QMLE-Trade,1999-2-10,0.148662
XLE,86454,QMLE-Trade,1999-2-11,0.297781
XLE,86454,QMLE-Trade,1999-2-12,0.0423261
XLE,86454,QMLE-Trade,1999-2-16,0.319857
XLE,86454,QMLE-Trade,1999-2-17,0.259057
XLE,86454,QMLE-Trade,1999-2-18,0.369065
XLE,86454,QMLE-Trade,1999-2-19,0.0548556
XLE,86454,QMLE-Trade,1999-2-22,0.0560581
XLE,86454,QMLE-Trade,1999-2-23,0.0851997
XLE,86454,QMLE-Trade,1999-2-24,0.238064
XLE,86454,QMLE-Trade,1999-2-25,0.0741541
XLE,86454,QMLE-Trade,1999-2-26,0.305974
XLE,86454,QMLE-Trade,1999-3-2,0.235382
XLE,86454,QMLE-Trade,1999-3-3,0.216775
XLE,86454,QMLE-Trade,1999-3-4,0.299621
XLE,86454,QMLE-Trade,1999-3-5,0.114785
XLE,86454,QMLE-Trade,1999-3-8,0.222042
XLE,86454,QMLE-Trade,1999-3-9,0.165363
XLE,86454,QMLE-Trade,1999-3-10,0.413616
XLE,86454,QMLE-Trade,1999-3-11,0.398
XLE,86454,QMLE-Trade,1999-3-12,0.257182
XLE,86454,QMLE-Trade,1999-3-15,0.292467
XLE,86454,QMLE-Trade,1999-3-16,0.152346
XLE,86454,QMLE-Trade,1999-3-17,0.0612343
XLE,86454,QMLE-Trade,1999-3-18,0.0994731
XLE,86454,QMLE-Trade,1999-3-19,0.278692
XLE,86454,QMLE-Trade,1999-3-22,0.0835835
XLE,86454,QMLE-Trade,1999-3-23,0.158152
XLE,86454,QMLE-Trade,1999-3-24,0.195237
XLE,86454,QMLE-Trade,1999-3-25,0.159048
XLE,86454,QMLE-Trade,1999-3-26,0.144
XLE,86454,QMLE-Trade,1999-3-29,0.087351
XLE,86454,QMLE-Trade,1999-3-30,0.11086
XLE,86454,QMLE-Trade,1999-3-31,0.290406
XLE,86454,QMLE-Trade,1999-4-1,0.014874
XLE,86454,QMLE-Trade,1999-4-5,0.199679
XLE,86454,QMLE-Trade,1999-4-6,0.0928432
XLE,86454,QMLE-Trade,1999-4-7,0.157791
XLE,86454,QMLE-Trade,1999-4-8,0.144047
XLE,86454,QMLE-Trade,1999-4-9,0.23447
XLE,86454,QMLE-Trade,1999-4-12,0.193023
XLE,86454,QMLE-Trade,1999-4-13,0.0824089
XLE,86454,QMLE-Trade,1999-4-14,0.0706844
XLE,86454,QMLE-Trade,1999-4-15,0.338086
XLE,86454,QMLE-Trade,1999-4-16,0.160769
XLE,86454,QMLE-Trade,1999-4-19,0.484182
XLE,86454,QMLE-Trade,1999-4-20,0.209883
XLE,86454,QMLE-Trade,1999-4-21,0.238615
XLE,86454,QMLE-Trade,1999-4-22,0.259804
XLE,86454,QMLE-Trade,1999-4-23,0.238573
XLE,86454,QMLE-Trade,1999-4-26,0.138657
XLE,86454,QMLE-Trade,1999-4-27,0.287332
XLE,86454,QMLE-Trade,1999-4-28,0.285871
XLE,86454,QMLE-Trade,1999-4-29,0.71029
XLE,86454,QMLE-Trade,1999-4-30,0.206873
XLE,86454,QMLE-Trade,1999-5-3,0.261472
XLE,86454,QMLE-Trade,1999-5-4,0.0674222
XLE,86454,QMLE-Trade,1999-5-5,0.277251
XLE,86454,QMLE-Trade,1999-5-6,0.204465
XLE,86454,QMLE-Trade,1999-5-7,0.0260004
XLE,86454,QMLE-Trade,1999-5-10,0.136666
XLE,86454,QMLE-Trade,1999-5-11,0.00254399
XLE,86454,QMLE-Trade,1999-5-12,0.0245283
XLE,86454,QMLE-Trade,1999-5-13,0.0583766
XLE,86454,QMLE-Trade,1999-5-14,0.0348626
XLE,86454,QMLE-Trade,1999-5-17,0.144341
XLE,86454,QMLE-Trade,1999-5-18,0.205609
XLE,86454,QMLE-Trade,1999-5-19,0.200583
XLE,86454,QMLE-Trade,1999-5-20,0.145582
XLE,86454,QMLE-Trade,1999-5-21,0.144182
XLE,86454,QMLE-Trade,1999-5-24,0.356668
XLE,86454,QMLE-Trade,1999-5-25,0.318137
XLE,86454,QMLE-Trade,1999-5-26,0.20144
XLE,86454,QMLE-Trade,1999-5-27,0.230454
XLE,86454,QMLE-Trade,1999-6-1,0.541284
XLE,86454,QMLE-Trade,1999-6-3,0.166727
XLE,86454,QMLE-Trade,1999-6-4,0.17143
XLE,86454,QMLE-Trade,1999-6-7,0.12291
XLE,86454,QMLE-Trade,1999-6-8,0.176274
XLE,86454,QMLE-Trade,1999-6-10,0.277624
XLE,86454,QMLE-Trade,1999-6-11,0.113439
XLE,86454,QMLE-Trade,1999-6-14,0.0381297
XLE,86454,QMLE-Trade,1999-6-15,0.0872078
XLE,86454,QMLE-Trade,1999-6-16,0.203345
XLE,86454,QMLE-Trade,1999-6-17,0.123905
XLE,86454,QMLE-Trade,1999-6-18,0.15277
XLE,86454,QMLE-Trade,1999-6-21,0.275901
XLE,86454,QMLE-Trade,1999-6-22,0.0251288
XLE,86454,QMLE-Trade,1999-6-23,0.019364
XLE,86454,QMLE-Trade,1999-6-24,0.136962
XLE,86454,QMLE-Trade,1999-6-25,0.0888121
XLE,86454,QMLE-Trade,1999-6-28,0.0432312
XLE,86454,QMLE-Trade,1999-6-29,0.164954
XLE,86454,QMLE-Trade,1999-6-30,0.133676
XLE,86454,QMLE-Trade,1999-7-1,0.0904028
XLE,86454,QMLE-Trade,1999-7-2,0.0339426
XLE,86454,QMLE-Trade,1999-7-6,0.183257
XLE,86454,QMLE-Trade,1999-7-7,0.0546705
XLE,86454,QMLE-Trade,1999-7-8,0.0846361
XLE,86454,QMLE-Trade,1999-7-9,0.0611352
XLE,86454,QMLE-Trade,1999-7-12,0.023755
XLE,86454,QMLE-Trade,1999-7-13,0.0640868
XLE,86454,QMLE-Trade,1999-7-14,0.0158712
XLE,86454,QMLE-Trade,1999-7-15,0.0489553
XLE,86454,QMLE-Trade,1999-7-16,0.0124155
XLE,86454,QMLE-Trade,1999-7-19,0.260648
XLE,86454,QMLE-Trade,1999-7-20,0.234439
XLE,86454,QMLE-Trade,1999-7-21,0.152563
XLE,86454,QMLE-Trade,1999-7-22,0.207279
XLE,86454,QMLE-Trade,1999-7-23,0.0066841
XLE,86454,QMLE-Trade,1999-7-26,0.324665
XLE,86454,QMLE-Trade,1999-7-27,0.0382047
XLE,86454,QMLE-Trade,1999-7-28,0.271759
XLE,86454,QMLE-Trade,1999-7-29,0.0277625
XLE,86454,QMLE-Trade,1999-7-30,0.136913
XLE,86454,QMLE-Trade,1999-8-2,0.162206
XLE,86454,QMLE-Trade,1999-8-3,0.0795355
XLE,86454,QMLE-Trade,1999-8-4,0.155638
XLE,86454,QMLE-Trade,1999-8-5,0.0860122
XLE,86454,QMLE-Trade,1999-8-6,0.0658951
XLE,86454,QMLE-Trade,1999-8-9,0.0970929
XLE,86454,QMLE-Trade,1999-8-10,0.182793
XLE,86454,QMLE-Trade,1999-8-11,0.333395
XLE,86454,QMLE-Trade,1999-8-12,0.114483
XLE,86454,QMLE-Trade,1999-8-13,0.0802911
XLE,86454,QMLE-Trade,1999-8-16,0.160922
XLE,86454,QMLE-Trade,1999-8-17,0.118248
XLE,86454,QMLE-Trade,1999-8-18,0.00848942
XLE,86454,QMLE-Trade,1999-8-19,0.121709
XLE,86454,QMLE-Trade,1999-8-20,0.0223649
XLE,86454,QMLE-Trade,1999-8-23,0.0981148
XLE,86454,QMLE-Trade,1999-8-24,0.00615176
XLE,86454,QMLE-Trade,1999-8-25,0.233286
XLE,86454,QMLE-Trade,1999-8-26,0.236304
XLE,86454,QMLE-Trade,1999-8-27,0.0140623
XLE,86454,QMLE-Trade,1999-8-30,0.160848
XLE,86454,QMLE-Trade,1999-8-31,0.291135
XLE,86454,QMLE-Trade,1999-9-1,0.0060257
XLE,86454,QMLE-Trade,1999-9-2,0.0808608
XLE,86454,QMLE-Trade,1999-9-3,0.0215988
XLE,86454,QMLE-Trade,1999-9-7,0.222213
XLE,86454,QMLE-Trade,1999-9-8,0.249768
XLE,86454,QMLE-Trade,1999-9-9,0.208495
XLE,86454,QMLE-Trade,1999-9-10,0.102558
XLE,86454,QMLE-Trade,1999-9-13,0.0620571
XLE,86454,QMLE-Trade,1999-9-14,0.0746655
XLE,86454,QMLE-Trade,1999-9-15,0.184619
XLE,86454,QMLE-Trade,1999-9-16,0.13151
XLE,86454,QMLE-Trade,1999-9-17,0.164405
XLE,86454,QMLE-Trade,1999-9-20,0.174297
XLE,86454,QMLE-Trade,1999-9-21,0.215134
XLE,86454,QMLE-Trade,1999-9-22,0.136054
XLE,86454,QMLE-Trade,1999-9-23,0.307649
XLE,86454,QMLE-Trade,1999-9-24,0.125451
XLE,86454,QMLE-Trade,1999-9-27,0.255799
XLE,86454,QMLE-Trade,1999-9-28,0.391274
XLE,86454,QMLE-Trade,1999-9-29,0.386817
XLE,86454,QMLE-Trade,1999-9-30,0.153305
XLE,86454,QMLE-Trade,1999-10-1,0.0431504
XLE,86454,QMLE-Trade,1999-10-4,0.201727
XLE,86454,QMLE-Trade,1999-10-5,0.294146
XLE,86454,QMLE-Trade,1999-10-6,0.0816281
XLE,86454,QMLE-Trade,1999-10-7,0.0788381
XLE,86454,QMLE-Trade,1999-10-8,0.366097
XLE,86454,QMLE-Trade,1999-10-11,0.13063
XLE,86454,QMLE-Trade,1999-10-12,0.0192986
XLE,86454,QMLE-Trade,1999-10-13,0.107785
XLE,86454,QMLE-Trade,1999-10-14,0.0264485
XLE,86454,QMLE-Trade,1999-10-15,0.222374
XLE,86454,QMLE-Trade,1999-10-18,0.179692
XLE,86454,QMLE-Trade,1999-10-19,0.0432537
XLE,86454,QMLE-Trade,1999-10-20,0.211757
XLE,86454,QMLE-Trade,1999-10-21,0.0498806
XLE,86454,QMLE-Trade,1999-10-22,0.114219
XLE,86454,QMLE-Trade,1999-10-25,0.103
XLE,86454,QMLE-Trade,1999-10-27,0.0210831
XLE,86454,QMLE-Trade,1999-10-28,0.124885
XLE,86454,QMLE-Trade,1999-10-29,0.0717987
XLE,86454,QMLE-Trade,1999-11-1,0.0129315
XLE,86454,QMLE-Trade,1999-11-2,0.100391
XLE,86454,QMLE-Trade,1999-11-3,0.118017
XLE,86454,QMLE-Trade,1999-11-4,0.187674
XLE,86454,QMLE-Trade,1999-11-5,0.459624
XLE,86454,QMLE-Trade,1999-11-8,0.344852
XLE,86454,QMLE-Trade,1999-11-9,0.0944005
XLE,86454,QMLE-Trade,1999-11-10,0.11171
XLE,86454,QMLE-Trade,1999-11-11,0.0648021
XLE,86454,QMLE-Trade,1999-11-12,0.12363
XLE,86454,QMLE-Trade,1999-11-15,0.00379403
XLE,86454,QMLE-Trade,1999-11-16,0.116292
XLE,86454,QMLE-Trade,1999-11-17,0.15846
XLE,86454,QMLE-Trade,1999-11-18,0.0741541
XLE,86454,QMLE-Trade,1999-11-19,0.0804795
XLE,86454,QMLE-Trade,1999-11-22,0.195693
XLE,86454,QMLE-Trade,1999-11-23,0.190317
XLE,86454,QMLE-Trade,1999-11-24,0.0581964
XLE,86454,QMLE-Trade,1999-11-29,0.0108028
XLE,86454,QMLE-Trade,1999-11-30,0.143402
XLE,86454,QMLE-Trade,1999-12-1,0.194861
XLE,86454,QMLE-Trade,1999-12-2,0.107711
XLE,86454,QMLE-Trade,1999-12-3,0.303594
XLE,86454,QMLE-Trade,1999-12-6,0.0914025
XLE,86454,QMLE-Trade,1999-12-7,0.135542
XLE,86454,QMLE-Trade,1999-12-8,0.281788
XLE,86454,QMLE-Trade,1999-12-9,0.368428
XLE,86454,QMLE-Trade,1999-12-10,0.283889
XLE,86454,QMLE-Trade,1999-12-13,0.035597
XLE,86454,QMLE-Trade,1999-12-14,0.0853642
XLE,86454,QMLE-Trade,1999-12-15,0.249281
XLE,86454,QMLE-Trade,1999-12-16,0.0910317
XLE,86454,QMLE-Trade,1999-12-17,0.19381
XLE,86454,QMLE-Trade,1999-12-20,0.163796
XLE,86454,QMLE-Trade,1999-12-21,0.107312
XLE,86454,QMLE-Trade,1999-12-22,0.0269252
XLE,86454,QMLE-Trade,1999-12-27,0.210961
XLE,86454,QMLE-Trade,1999-12-28,0.196998
XLE,86454,QMLE-Trade,1999-12-29,0.113137
XLE,86454,QMLE-Trade,1999-12-30,0.0422117
XLE,86454,QMLE-Trade,2000-1-3,0.45466
XLE,86454,QMLE-Trade,2000-1-4,0.155092
XLE,86454,QMLE-Trade,2000-1-5,0.337508
XLE,86454,QMLE-Trade,2000-1-6,0.289817
XLE,86454,QMLE-Trade,2000-1-7,0.31875
XLE,86454,QMLE-Trade,2000-1-10,0.162723
XLE,86454,QMLE-Trade,2000-1-11,0.15932
XLE,86454,QMLE-Trade,2000-1-12,0.0677551
XLE,86454,QMLE-Trade,2000-1-13,0.102271
XLE,86454,QMLE-Trade,2000-1-14,0.00963991
XLE,86454,QMLE-Trade,2000-1-18,0.172658
XLE,86454,QMLE-Trade,2000-1-19,0.0778119
XLE,86454,QMLE-Trade,2000-1-20,0.132568
XLE,86454,QMLE-Trade,2000-1-21,0.17631
XLE,86454,QMLE-Trade,2000-1-24,0.393383
XLE,86454,QMLE-Trade,2000-1-25,0.267073
XLE,86454,QMLE-Trade,2000-1-26,0.299553
XLE,86454,QMLE-Trade,2000-1-27,0.294094
XLE,86454,QMLE-Trade,2000-1-28,0.11611
XLE,86454,QMLE-Trade,2000-1-31,0.304874
XLE,86454,QMLE-Trade,2000-2-1,0.156242
XLE,86454,QMLE-Trade,2000-2-2,0.147642
XLE,86454,QMLE-Trade,2000-2-3,0.309887
XLE,86454,QMLE-Trade,2000-2-4,0.235487
XLE,86454,QMLE-Trade,2000-2-7,0.107892
XLE,86454,QMLE-Trade,2000-2-8,0.1621
XLE,86454,QMLE-Trade,2000-2-9,0.167845
XLE,86454,QMLE-Trade,2000-2-10,0.323173
XLE,86454,QMLE-Trade,2000-2-11,0.518969
XLE,86454,QMLE-Trade,2000-2-14,0.125974
XLE,86454,QMLE-Trade,2000-2-15,0.320776
XLE,86454,QMLE-Trade,2000-2-16,0.146004
XLE,86454,QMLE-Trade,2000-2-17,0.181617
XLE,86454,QMLE-Trade,2000-2-18,0.313307
XLE,86454,QMLE-Trade,2000-2-22,0.222501
XLE,86454,QMLE-Trade,2000-2-23,0.289947
XLE,86454,QMLE-Trade,2000-2-24,0.190347
XLE,86454,QMLE-Trade,2000-2-25,0.347856
XLE,86454,QMLE-Trade,2000-2-28,0.44327
XLE,86454,QMLE-Trade,2000-2-29,0.218994
XLE,86454,QMLE-Trade,2000-3-1,0.463342
XLE,86454,QMLE-Trade,2000-3-2,0.277543
XLE,86454,QMLE-Trade,2000-3-3,0.286127
XLE,86454,QMLE-Trade,2000-3-6,0.209207
XLE,86454,QMLE-Trade,2000-3-7,0.502873
XLE,86454,QMLE-Trade,2000-3-8,0.50621
XLE,86454,QMLE-Trade,2000-3-9,0.717221
XLE,86454,QMLE-Trade,2000-3-10,0.491151
XLE,86454,QMLE-Trade,2000-3-13,0.330067
XLE,86454,QMLE-Trade,2000-3-14,0.320516
XLE,86454,QMLE-Trade,2000-3-15,0.436111
XLE,86454,QMLE-Trade,2000-3-16,0.362809
XLE,86454,QMLE-Trade,2000-3-17,0.215332
XLE,86454,QMLE-Trade,2000-3-20,0.203064
XLE,86454,QMLE-Trade,2000-3-21,0.101902
XLE,86454,QMLE-Trade,2000-3-22,0.161285
XLE,86454,QMLE-Trade,2000-3-23,0.201748
XLE,86454,QMLE-Trade,2000-3-24,0.0921816
XLE,86454,QMLE-Trade,2000-3-27,0.379149
XLE,86454,QMLE-Trade,2000-3-28,0.117616
XLE,86454,QMLE-Trade,2000-3-29,0.460609
XLE,86454,QMLE-Trade,2000-3-30,0.412063
XLE,86454,QMLE-Trade,2000-3-31,0.21256
XLE,86454,QMLE-Trade,2000-4-3,0.0853704
XLE,86454,QMLE-Trade,2000-4-4,0.346633
XLE,86454,QMLE-Trade,2000-4-5,0.218598
XLE,86454,QMLE-Trade,2000-4-6,0.224246
XLE,86454,QMLE-Trade,2000-4-7,0.139859
XLE,86454,QMLE-Trade,2000-4-10,0.0673153
XLE,86454,QMLE-Trade,2000-4-11,0.281883
XLE,86454,QMLE-Trade,2000-4-12,0.244469
XLE,86454,QMLE-Trade,2000-4-13,0.0155617
XLE,86454,QMLE-Trade,2000-4-14,0.134526
XLE,86454,QMLE-Trade,2000-4-17,0.224225
XLE,86454,QMLE-Trade,2000-4-18,0.0174547
XLE,86454,QMLE-Trade,2000-4-19,0.198659
XLE,86454,QMLE-Trade,2000-4-20,0.103671
XLE,86454,QMLE-Trade,2000-4-24,0.30278
XLE,86454,QMLE-Trade,2000-4-25,0.00331776
XLE,86454,QMLE-Trade,2000-4-26,0.146269
XLE,86454,QMLE-Trade,2000-4-27,0.148757
XLE,86454,QMLE-Trade,2000-4-28,0.207999
XLE,86454,QMLE-Trade,2000-5-1,0.080381
XLE,86454,QMLE-Trade,2000-5-2,0.190855
XLE,86454,QMLE-Trade,2000-5-3,0.22357
XLE,86454,QMLE-Trade,2000-5-4,0.130723
XLE,86454,QMLE-Trade,2000-5-5,0.0541744
XLE,86454,QMLE-Trade,2000-5-8,0.22997
XLE,86454,QMLE-Trade,2000-5-9,0.202992
XLE,86454,QMLE-Trade,2000-5-10,0.0131303
XLE,86454,QMLE-Trade,2000-5-11,0.230548
XLE,86454,QMLE-Trade,2000-5-12,0.00709898
XLE,86454,QMLE-Trade,2000-5-15,0.213916
XLE,86454,QMLE-Trade,2000-5-16,0.114464
XLE,86454,QMLE-Trade,2000-5-17,0.0975932
XLE,86454,QMLE-Trade,2000-5-18,0.0329403
XLE,86454,QMLE-Trade,2000-5-19,0.138304
XLE,86454,QMLE-Trade,2000-5-22,0.0916684
XLE,86454,QMLE-Trade,2000-5-23,0.156009
XLE,86454,QMLE-Trade,2000-5-24,0.106659
XLE,86454,QMLE-Trade,2000-5-25,0.28059
XLE,86454,QMLE-Trade,2000-5-26,0.120978
XLE,86454,QMLE-Trade,2000-5-30,0.101754
XLE,86454,QMLE-Trade,2000-5-31,0.297154
XLE,86454,QMLE-Trade,2000-6-1,0.264393
XLE,86454,QMLE-Trade,2000-6-2,0.254029
XLE,86454,QMLE-Trade,2000-6-5,0.168126
XLE,86454,QMLE-Trade,2000-6-6,0.350371
XLE,86454,QMLE-Trade,2000-6-7,0.0443694
XLE,86454,QMLE-Trade,2000-6-8,0.05654
XLE,86454,QMLE-Trade,2000-6-9,0.112812
XLE,86454,QMLE-Trade,2000-6-12,0.234022
XLE,86454,QMLE-Trade,2000-6-13,0.0217825
XLE,86454,QMLE-Trade,2000-6-14,0.213699
XLE,86454,QMLE-Trade,2000-6-15,0.30579
XLE,86454,QMLE-Trade,2000-6-16,0.226008
XLE,86454,QMLE-Trade,2000-6-19,0.16048
XLE,86454,QMLE-Trade,2000-6-20,0.4812
XLE,86454,QMLE-Trade,2000-6-21,0.343015
XLE,86454,QMLE-Trade,2000-6-22,0.321334
XLE,86454,QMLE-Trade,2000-6-23,0.16626
XLE,86454,QMLE-Trade,2000-6-26,0.185368
XLE,86454,QMLE-Trade,2000-6-27,0.192052
XLE,86454,QMLE-Trade,2000-6-28,0.0830311
XLE,86454,QMLE-Trade,2000-6-29,0.017066
XLE,86454,QMLE-Trade,2000-6-30,0.247151
XLE,86454,QMLE-Trade,2000-7-3,0.191735
XLE,86454,QMLE-Trade,2000-7-5,0.202058
XLE,86454,QMLE-Trade,2000-7-6,0.248438
XLE,86454,QMLE-Trade,2000-7-7,0.0398154
XLE,86454,QMLE-Trade,2000-7-10,0.171565
XLE,86454,QMLE-Trade,2000-7-11,0.329131
XLE,86454,QMLE-Trade,2000-7-12,0.201234
XLE,86454,QMLE-Trade,2000-7-13,0.0626533
XLE,86454,QMLE-Trade,2000-7-14,0.183327
XLE,86454,QMLE-Trade,2000-7-17,0.141392
XLE,86454,QMLE-Trade,2000-7-18,0.138613
