Symbol,PN,Type,Date,Volatility
SPY,84398,QMLE-Trade,1996-1-2,0.140261
SPY,84398,QMLE-Trade,1996-1-3,0.0823988
SPY,84398,QMLE-Trade,1996-1-4,0.211454
SPY,84398,QMLE-Trade,1996-1-5,0.0226467
SPY,84398,QMLE-Trade,1996-1-9,0.228727
SPY,84398,QMLE-Trade,1996-1-10,0.219575
SPY,84398,QMLE-Trade,1996-1-11,0.0721295
SPY,84398,QMLE-Trade,1996-1-12,0.125436
SPY,84398,QMLE-Trade,1996-1-15,0.104078
SPY,84398,QMLE-Trade,1996-1-16,0.171182
SPY,84398,QMLE-Trade,1996-1-17,0.0924479
SPY,84398,QMLE-Trade,1996-1-18,0.111449
SPY,84398,QMLE-Trade,1996-1-19,0.0898724
SPY,84398,QMLE-Trade,1996-1-22,0.0597969
SPY,84398,QMLE-Trade,1996-1-23,0.0425784
SPY,84398,QMLE-Trade,1996-1-24,0.103968
SPY,84398,QMLE-Trade,1996-1-25,0.0549385
SPY,84398,QMLE-Trade,1996-1-26,0.0610045
SPY,84398,QMLE-Trade,1996-1-29,0.0649041
SPY,84398,QMLE-Trade,1996-1-30,0.0798531
SPY,84398,QMLE-Trade,1996-1-31,0.108853
SPY,84398,QMLE-Trade,1996-2-1,0.0586462
SPY,84398,QMLE-Trade,1996-2-2,0.100903
SPY,84398,QMLE-Trade,1996-2-5,0.103455
SPY,84398,QMLE-Trade,1996-2-6,0.104815
SPY,84398,QMLE-Trade,1996-2-7,0.100164
SPY,84398,QMLE-Trade,1996-2-8,0.094582
SPY,84398,QMLE-Trade,1996-2-9,0.150494
SPY,84398,QMLE-Trade,1996-2-12,0.123916
SPY,84398,QMLE-Trade,1996-2-13,0.141671
SPY,84398,QMLE-Trade,1996-2-14,0.116057
SPY,84398,QMLE-Trade,1996-2-15,0.106333
SPY,84398,QMLE-Trade,1996-2-16,0.0826382
SPY,84398,QMLE-Trade,1996-2-20,0.154791
SPY,84398,QMLE-Trade,1996-2-21,0.118536
SPY,84398,QMLE-Trade,1996-2-22,0.106501
SPY,84398,QMLE-Trade,1996-2-23,0.186165
SPY,84398,QMLE-Trade,1996-2-26,0.138779
SPY,84398,QMLE-Trade,1996-2-27,0.126379
SPY,84398,QMLE-Trade,1996-2-28,0.183953
SPY,84398,QMLE-Trade,1996-2-29,0.188991
SPY,84398,QMLE-Trade,1996-3-1,0.182579
SPY,84398,QMLE-Trade,1996-3-4,0.141012
SPY,84398,QMLE-Trade,1996-3-5,0.0889122
SPY,84398,QMLE-Trade,1996-3-6,0.0623826
SPY,84398,QMLE-Trade,1996-3-7,0.0937665
SPY,84398,QMLE-Trade,1996-3-8,0.417895
SPY,84398,QMLE-Trade,1996-3-11,0.23057
SPY,84398,QMLE-Trade,1996-3-12,0.202154
SPY,84398,QMLE-Trade,1996-3-13,0.118522
SPY,84398,QMLE-Trade,1996-3-14,0.0852719
SPY,84398,QMLE-Trade,1996-3-15,0.0957681
SPY,84398,QMLE-Trade,1996-3-18,0.12166
SPY,84398,QMLE-Trade,1996-3-19,0.11391
SPY,84398,QMLE-Trade,1996-3-20,0.113401
SPY,84398,QMLE-Trade,1996-3-21,0.0591897
SPY,84398,QMLE-Trade,1996-3-22,0.0551307
SPY,84398,QMLE-Trade,1996-3-25,0.120228
SPY,84398,QMLE-Trade,1996-3-26,0.0814577
SPY,84398,QMLE-Trade,1996-3-27,0.104172
SPY,84398,QMLE-Trade,1996-3-28,0.111274
SPY,84398,QMLE-Trade,1996-3-29,0.18066
SPY,84398,QMLE-Trade,1996-4-1,0.0789241
SPY,84398,QMLE-Trade,1996-4-2,0.0359221
SPY,84398,QMLE-Trade,1996-4-3,0.0496802
SPY,84398,QMLE-Trade,1996-4-4,0.0317646
SPY,84398,QMLE-Trade,1996-4-8,0.172268
SPY,84398,QMLE-Trade,1996-4-9,0.0872523
SPY,84398,QMLE-Trade,1996-4-10,0.225506
SPY,84398,QMLE-Trade,1996-4-11,0.278736
SPY,84398,QMLE-Trade,1996-4-12,0.113059
SPY,84398,QMLE-Trade,1996-4-15,0.0899537
SPY,84398,QMLE-Trade,1996-4-16,0.0474329
SPY,84398,QMLE-Trade,1996-4-17,0.113266
SPY,84398,QMLE-Trade,1996-4-18,0.105507
SPY,84398,QMLE-Trade,1996-4-19,0.0601986
SPY,84398,QMLE-Trade,1996-4-22,0.0920599
SPY,84398,QMLE-Trade,1996-4-23,0.07593
SPY,84398,QMLE-Trade,1996-4-24,0.0730575
SPY,84398,QMLE-Trade,1996-4-25,0.100619
SPY,84398,QMLE-Trade,1996-4-26,0.104786
SPY,84398,QMLE-Trade,1996-4-29,0.0538425
SPY,84398,QMLE-Trade,1996-4-30,0.0659243
SPY,84398,QMLE-Trade,1996-5-1,0.091527
SPY,84398,QMLE-Trade,1996-5-2,0.125967
SPY,84398,QMLE-Trade,1996-5-3,0.145411
SPY,84398,QMLE-Trade,1996-5-6,0.119856
SPY,84398,QMLE-Trade,1996-5-7,0.0922554
SPY,84398,QMLE-Trade,1996-5-8,0.218247
SPY,84398,QMLE-Trade,1996-5-9,0.122295
SPY,84398,QMLE-Trade,1996-5-10,0.078293
SPY,84398,QMLE-Trade,1996-5-13,0.129667
SPY,84398,QMLE-Trade,1996-5-14,0.0327069
SPY,84398,QMLE-Trade,1996-5-15,0.111691
SPY,84398,QMLE-Trade,1996-5-16,0.0783273
SPY,84398,QMLE-Trade,1996-5-17,0.0334464
SPY,84398,QMLE-Trade,1996-5-20,0.113928
SPY,84398,QMLE-Trade,1996-5-21,0.07283
SPY,84398,QMLE-Trade,1996-5-22,0.0897353
SPY,84398,QMLE-Trade,1996-5-23,0.150168
SPY,84398,QMLE-Trade,1996-5-24,0.086753
SPY,84398,QMLE-Trade,1996-5-28,0.132362
SPY,84398,QMLE-Trade,1996-5-29,0.129762
SPY,84398,QMLE-Trade,1996-5-30,0.126308
SPY,84398,QMLE-Trade,1996-5-31,0.128666
SPY,84398,QMLE-Trade,1996-6-3,0.105536
SPY,84398,QMLE-Trade,1996-6-4,0.0346155
SPY,84398,QMLE-Trade,1996-6-5,0.0971091
SPY,84398,QMLE-Trade,1996-6-6,0.09766
SPY,84398,QMLE-Trade,1996-6-7,0.165574
SPY,84398,QMLE-Trade,1996-6-10,0.0320751
SPY,84398,QMLE-Trade,1996-6-11,0.124111
SPY,84398,QMLE-Trade,1996-6-12,0.106694
SPY,84398,QMLE-Trade,1996-6-13,0.108403
SPY,84398,QMLE-Trade,1996-6-14,0.054494
SPY,84398,QMLE-Trade,1996-6-17,0.123302
SPY,84398,QMLE-Trade,1996-6-18,0.065794
SPY,84398,QMLE-Trade,1996-6-19,0.096668
SPY,84398,QMLE-Trade,1996-6-20,0.111322
SPY,84398,QMLE-Trade,1996-6-21,0.0234691
SPY,84398,QMLE-Trade,1996-6-24,0.0466301
SPY,84398,QMLE-Trade,1996-6-25,0.0500773
SPY,84398,QMLE-Trade,1996-6-26,0.0799892
SPY,84398,QMLE-Trade,1996-6-27,0.147166
SPY,84398,QMLE-Trade,1996-6-28,0.0755441
SPY,84398,QMLE-Trade,1996-7-1,0.046083
SPY,84398,QMLE-Trade,1996-7-2,0.00244169
SPY,84398,QMLE-Trade,1996-7-3,0.0697477
SPY,84398,QMLE-Trade,1996-7-5,0.298914
SPY,84398,QMLE-Trade,1996-7-8,0.130227
SPY,84398,QMLE-Trade,1996-7-9,0.0616339
SPY,84398,QMLE-Trade,1996-7-10,0.149645
SPY,84398,QMLE-Trade,1996-7-11,0.266366
SPY,84398,QMLE-Trade,1996-7-12,0.113041
SPY,84398,QMLE-Trade,1996-7-15,0.321473
SPY,84398,QMLE-Trade,1996-7-16,0.596482
SPY,84398,QMLE-Trade,1996-7-17,0.128487
SPY,84398,QMLE-Trade,1996-7-18,0.194895
SPY,84398,QMLE-Trade,1996-7-19,0.137867
SPY,84398,QMLE-Trade,1996-7-22,0.0919995
SPY,84398,QMLE-Trade,1996-7-23,0.216269
SPY,84398,QMLE-Trade,1996-7-24,0.225965
SPY,84398,QMLE-Trade,1996-7-25,0.0704644
SPY,84398,QMLE-Trade,1996-7-26,0.0736188
SPY,84398,QMLE-Trade,1996-7-29,0.0968977
SPY,84398,QMLE-Trade,1996-7-30,0.102701
SPY,84398,QMLE-Trade,1996-7-31,0.0993693
SPY,84398,QMLE-Trade,1996-8-1,0.159791
SPY,84398,QMLE-Trade,1996-8-2,0.0823621
SPY,84398,QMLE-Trade,1996-8-5,0.0651349
SPY,84398,QMLE-Trade,1996-8-6,0.11499
SPY,84398,QMLE-Trade,1996-8-7,0.137726
SPY,84398,QMLE-Trade,1996-8-8,0.0551279
SPY,84398,QMLE-Trade,1996-8-9,0.118551
SPY,84398,QMLE-Trade,1996-8-12,0.124023
SPY,84398,QMLE-Trade,1996-8-13,0.0958216
SPY,84398,QMLE-Trade,1996-8-14,0.078791
SPY,84398,QMLE-Trade,1996-8-15,0.0390456
SPY,84398,QMLE-Trade,1996-8-16,0.0405508
SPY,84398,QMLE-Trade,1996-8-19,0.000398254
SPY,84398,QMLE-Trade,1996-8-20,0.000387589
SPY,84398,QMLE-Trade,1996-8-21,0.0443674
SPY,84398,QMLE-Trade,1996-8-22,0.101741
SPY,84398,QMLE-Trade,1996-8-23,0.068916
SPY,84398,QMLE-Trade,1996-8-26,0.0315268
SPY,84398,QMLE-Trade,1996-8-27,0.0161505
SPY,84398,QMLE-Trade,1996-8-28,0.0616498
SPY,84398,QMLE-Trade,1996-8-29,0.106513
SPY,84398,QMLE-Trade,1996-8-30,0.13878
SPY,84398,QMLE-Trade,1996-9-3,0.145591
SPY,84398,QMLE-Trade,1996-9-4,0.0233269
SPY,84398,QMLE-Trade,1996-9-5,0.0913695
SPY,84398,QMLE-Trade,1996-9-6,0.134146
SPY,84398,QMLE-Trade,1996-9-9,0.0732774
SPY,84398,QMLE-Trade,1996-9-10,0.100883
SPY,84398,QMLE-Trade,1996-9-11,0.101981
SPY,84398,QMLE-Trade,1996-9-12,0.092541
SPY,84398,QMLE-Trade,1996-9-13,0.0998731
SPY,84398,QMLE-Trade,1996-9-16,0.0815619
SPY,84398,QMLE-Trade,1996-9-17,0.133146
SPY,84398,QMLE-Trade,1996-9-18,0.0394145
SPY,84398,QMLE-Trade,1996-9-19,0.0845381
SPY,84398,QMLE-Trade,1996-9-20,0.000477843
SPY,84398,QMLE-Trade,1996-9-23,0.0955015
SPY,84398,QMLE-Trade,1996-9-24,0.162552
SPY,84398,QMLE-Trade,1996-9-25,0.0570688
SPY,84398,QMLE-Trade,1996-9-26,0.131196
SPY,84398,QMLE-Trade,1996-9-27,0.0351396
SPY,84398,QMLE-Trade,1996-9-30,0.0743159
SPY,84398,QMLE-Trade,1996-10-1,0.0929367
SPY,84398,QMLE-Trade,1996-10-2,0.0488646
SPY,84398,QMLE-Trade,1996-10-3,0.0481136
SPY,84398,QMLE-Trade,1996-10-4,0.0816311
SPY,84398,QMLE-Trade,1996-10-7,0.0932599
SPY,84398,QMLE-Trade,1996-10-8,0.0880748
SPY,84398,QMLE-Trade,1996-10-9,0.109391
SPY,84398,QMLE-Trade,1996-10-10,0.109305
SPY,84398,QMLE-Trade,1996-10-11,0.0685017
SPY,84398,QMLE-Trade,1996-10-14,0.0588112
SPY,84398,QMLE-Trade,1996-10-15,0.15885
SPY,84398,QMLE-Trade,1996-10-16,0.0850441
SPY,84398,QMLE-Trade,1996-10-17,0.022694
SPY,84398,QMLE-Trade,1996-10-18,0.0551805
SPY,84398,QMLE-Trade,1996-10-21,0.158525
SPY,84398,QMLE-Trade,1996-10-22,0.0678707
SPY,84398,QMLE-Trade,1996-10-23,0.118982
SPY,84398,QMLE-Trade,1996-10-24,0.107402
SPY,84398,QMLE-Trade,1996-10-25,0.071863
SPY,84398,QMLE-Trade,1996-10-28,0.134756
SPY,84398,QMLE-Trade,1996-10-29,0.135851
SPY,84398,QMLE-Trade,1996-10-30,0.0785856
SPY,84398,QMLE-Trade,1996-10-31,0.0825908
SPY,84398,QMLE-Trade,1996-11-1,0.107258
SPY,84398,QMLE-Trade,1996-11-4,0.0745172
SPY,84398,QMLE-Trade,1996-11-5,0.0594163
SPY,84398,QMLE-Trade,1996-11-6,0.129137
SPY,84398,QMLE-Trade,1996-11-7,0.120465
SPY,84398,QMLE-Trade,1996-11-8,0.0721494
SPY,84398,QMLE-Trade,1996-11-11,0.0510089
SPY,84398,QMLE-Trade,1996-11-12,0.0706968
SPY,84398,QMLE-Trade,1996-11-13,0.0551362
SPY,84398,QMLE-Trade,1996-11-14,0.100775
